register_number,name,gender,department_code,class_name,year,email,phone
24268,Riya Patel,Female,BA-ENG,III B.A English,3,riya.patel24268@college.edu,9800024268
24269,Varun Reddy,Male,BA-ENG,III B.A English,3,varun.reddy24269@college.edu,9800024269
24270,Isha Iyer,Female,BA-ENG,III B.A English,3,isha.iyer24270@college.edu,9800024270
24271,Siddharth Pillai,Male,BA-ENG,III B.A English,3,siddharth.pillai24271@college.edu,9800024271
24272,Neha Banerjee,Female,BA-ENG,III B.A English,3,neha.banerjee24272@college.edu,9800024272
24273,Abhishek Agarwal,Male,BA-ENG,III B.A English,3,abhishek.agarwal24273@college.edu,9800024273
24274,Shreya Menon,Female,BA-ENG,III B.A English,3,shreya.menon24274@college.edu,9800024274
24275,Manish Kumar,Male,BA-ENG,III B.A English,3,manish.kumar24275@college.edu,9800024275
24276,Anjali Nair,Female,BCOM,II B.Com,2,anjali.nair24276@college.edu,9800024276
24277,Deepak Joshi,Male,BCOM,II B.Com,2,deepak.joshi24277@college.edu,9800024277
24278,Swati Rao,Female,BCOM,II B.Com,2,swati.rao24278@college.edu,9800024278
24279,Rajesh Choudhary,Male,BCOM,II B.Com,2,rajesh.choudhary24279@college.edu,9800024279
24280,Lakshmi Verma,Female,BCOM,II B.Com,2,lakshmi.verma24280@college.edu,9800024280
24281,Karthik Sharma,Male,BCOM,II B.Com,2,karthik.sharma24281@college.edu,9800024281
24282,Harini Singh,Female,BCOM,II B.Com,2,harini.singh24282@college.edu,9800024282
24283,Gokul Gupta,Male,BCOM,II B.Com,2,gokul.gupta24283@college.edu,9800024283
24284,Nandini Mehta,Female,BCOM,II B.Com,2,nandini.mehta24284@college.edu,9800024284
24285,Mohan Das,Male,BCOM,II B.Com,2,mohan.das24285@college.edu,9800024285
24286,Swetha Malhotra,Female,BCOM,II B.Com,2,swetha.malhotra24286@college.edu,9800024286
24287,Jagan Krishnan,Male,BCOM,II B.Com,2,jagan.krishnan24287@college.edu,9800024287
24288,Keerthana Patel,Female,BCOM,II B.Com,2,keerthana.patel24288@college.edu,9800024288
24289,Pranav Reddy,Male,BCOM,II B.Com,2,pranav.reddy24289@college.edu,9800024289
24290,Sowmya Iyer,Female,BCOM,II B.Com,2,sowmya.iyer24290@college.edu,9800024290
24291,Yash Pillai,Male,BCOM,II B.Com,2,yash.pillai24291@college.edu,9800024291
24292,Tanvi Banerjee,Female,BCOM,II B.Com,2,tanvi.banerjee24292@college.edu,9800024292
24293,Ayaan Agarwal,Male,BCOM,II B.Com,2,ayaan.agarwal24293@college.edu,9800024293
24294,Ishita Menon,Female,BCOM,II B.Com,2,ishita.menon24294@college.edu,9800024294
24295,Dhruv Kumar,Male,BCOM,II B.Com,2,dhruv.kumar24295@college.edu,9800024295
24296,Myra Nair,Female,BCOM,II B.Com,2,myra.nair24296@college.edu,9800024296
24297,Kabir Joshi,Male,BCOM,II B.Com,2,kabir.joshi24297@college.edu,9800024297
24298,Anika Rao,Female,BCOM,II B.Com,2,anika.rao24298@college.edu,9800024298
24299,Reyansh Choudhary,Male,BCOM,II B.Com,2,reyansh.choudhary24299@college.edu,9800024299
24300,Sara Verma,Female,BCOM,II B.Com,2,sara.verma24300@college.edu,9800024300
